#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         482    -3.77489    -3.77611 0.000132549
         483    -3.77463     -3.7761  0.00013231
         484    -3.77482     -3.7761 0.000132063
         485    -3.77502     -3.7761 0.000131809
         486    -3.77507     -3.7761 0.000131555
         487    -3.77481     -3.7761 0.000131312
         488    -3.77486    -3.77609 0.000131067
         489    -3.77507    -3.77609 0.000130815
         490    -3.77527    -3.77609 0.000130559
         491    -3.77548    -3.77609 0.000130299
         492    -3.77554    -3.77609 0.000130039
         493    -3.77544    -3.77609 0.000129782
         494    -3.77566    -3.77608 0.000129522
         495    -3.77587    -3.77608 0.000129261
         496    -3.77548    -3.77608 0.000129006
         497    -3.77554    -3.77608 0.000128751
         498    -3.77531    -3.77608 0.000128502
         499    -3.77522    -3.77608 0.000128256
         500    -3.77529    -3.77608  0.00012801
         501     -3.7752    -3.77608 0.000127766
         502    -3.77497    -3.77607  0.00012753
         503    -3.77473    -3.77607 0.000127305
         504    -3.77465    -3.77607 0.000127083
         505    -3.77457    -3.77606 0.000126866
         506    -3.77479    -3.77606 0.000126641
         507    -3.77501    -3.77606 0.000126408
         508    -3.77522    -3.77606  0.00012617
         509    -3.77529    -3.77606 0.000125931
         510    -3.77566    -3.77606 0.000125686
         511    -3.77557    -3.77605 0.000125444
         512    -3.77594    -3.77605 0.000125199
         513    -3.77616    -3.77605 0.000124955
         514    -3.77622    -3.77606 0.000124713
         515    -3.77613    -3.77606  0.00012447
         516    -3.77634    -3.77606  0.00012423
         517     -3.7767    -3.77606 0.000123996
         518     -3.7769    -3.77606 0.000123768
         519    -3.77726    -3.77606 0.000123551
         520    -3.77746    -3.77606 0.000123343
         521    -3.77751    -3.77607 0.000123137
         522    -3.77771    -3.77607 0.000122941
         523     -3.7779    -3.77607 0.000122756
         524    -3.77825    -3.77608 0.000122592
         525    -3.77844    -3.77608 0.000122441
         526    -3.77847    -3.77609 0.000122292
         527    -3.77881    -3.77609 0.000122169
         528    -3.77868     -3.7761 0.000122036
         529    -3.77856     -3.7761 0.000121894
         530    -3.77858    -3.77611 0.000121754
         531    -3.77906    -3.77611 0.000121652
         532    -3.77907    -3.77612  0.00012155
         533    -3.77879    -3.77612 0.000121425
         534     -3.7788    -3.77613 0.000121301
         535     -3.7788    -3.77613 0.000121178
         536    -3.77881    -3.77614 0.000121055
         537    -3.77896    -3.77614 0.000120943
         538    -3.77911    -3.77615 0.000120844
         539     -3.7791    -3.77615 0.000120745
         540     -3.7791    -3.77616 0.000120644
         541    -3.77908    -3.77616 0.000120542
         542    -3.77907    -3.77617 0.000120439
         543    -3.77905    -3.77617 0.000120334
         544    -3.77918    -3.77618 0.000120239
         545    -3.77946    -3.77619 0.000120169
         546    -3.77943    -3.77619 0.000120095
         547    -3.77955     -3.7762 0.000120033
         548    -3.77952     -3.7762 0.000119966
         549    -3.77963    -3.77621  0.00011991
         550    -3.77959    -3.77622  0.00011985
         551    -3.77955    -3.77622 0.000119785
         552    -3.77981    -3.77623 0.000119744
         553    -3.77992    -3.77624 0.000119713
         554    -3.78002    -3.77624 0.000119692
         555    -3.77997    -3.77625 0.000119664
         556    -3.77991    -3.77626  0.00011963
         557    -3.77971    -3.77626 0.000119576
         558    -3.77935    -3.77627  0.00011949
         559    -3.77929    -3.77627 0.000119398
         560    -3.77923    -3.77628 0.000119302
         561    -3.77886    -3.77628 0.000119178
         562     -3.7788    -3.77629  0.00011905
         563    -3.77858    -3.77629 0.000118908
         564    -3.77836     -3.7763 0.000118754
         565    -3.77845     -3.7763 0.000118605
         566    -3.77823     -3.7763 0.000118444
         567    -3.77861    -3.77631 0.000118305
         568    -3.77854    -3.77631 0.000118162
         569    -3.77846    -3.77631 0.000118014
         570    -3.77854    -3.77632 0.000117872
         571    -3.77846    -3.77632 0.000117725
         572    -3.77808    -3.77633  0.00011756
         573    -3.77786    -3.77633 0.000117385
         574    -3.77793    -3.77633 0.000117214
         575    -3.77801    -3.77633 0.000117046
         576    -3.77838    -3.77634 0.000116897
         577      -3.778    -3.77634  0.00011673
         578    -3.77793    -3.77634  0.00011656
         579    -3.77815    -3.77635 0.000116401
         580    -3.77777    -3.77635 0.000116226
         581     -3.7777    -3.77635 0.000116049
         582    -3.77747    -3.77635 0.000115866
         583    -3.77724    -3.77635 0.000115677
         584    -3.77716    -3.77636 0.000115487
         585    -3.77694    -3.77636 0.000115294
         586    -3.77686    -3.77636 0.000115101
         587    -3.77664    -3.77636 0.000114906
         588    -3.77687    -3.77636 0.000114713
         589    -3.77649    -3.77636 0.000114519
         590    -3.77657    -3.77636 0.000114325
         591    -3.77635    -3.77636 0.000114132
         592    -3.77628    -3.77636 0.000113939
         593    -3.77621    -3.77636 0.000113747
         594    -3.77615    -3.77636 0.000113556
         595    -3.77578    -3.77636  0.00011337
         596    -3.77572    -3.77636 0.000113185
         597    -3.77581    -3.77636 0.000112999
         598    -3.77575    -3.77635 0.000112814
         599    -3.77554    -3.77635 0.000112634
         600    -3.77548    -3.77635 0.000112456
         601    -3.77573    -3.77635 0.000112274
         602    -3.77583    -3.77635  0.00011209
         603    -3.77578    -3.77635 0.000111909
         604    -3.77573    -3.77635 0.000111728
         605    -3.77553    -3.77635 0.000111552
         606    -3.77579    -3.77635 0.000111371
         607    -3.77559    -3.77634 0.000111195
         608    -3.77571    -3.77634 0.000111017
         609    -3.77552    -3.77634 0.000110843
         610    -3.77563    -3.77634 0.000110667
         611    -3.77575    -3.77634  0.00011049
         612    -3.77587    -3.77634 0.000110312
         613    -3.77585    -3.77634 0.000110135
         614    -3.77567    -3.77634 0.000109961
         615    -3.77535    -3.77634 0.000109794
         616    -3.77548    -3.77633 0.000109625
         617    -3.77531    -3.77633  0.00010946
         618    -3.77514    -3.77633 0.000109299
         619    -3.77513    -3.77633  0.00010914
         620    -3.77543    -3.77633 0.000108974
         621    -3.77542    -3.77633 0.000108808
         622    -3.77542    -3.77632 0.000108643
         623    -3.77542    -3.77632 0.000108478
         624    -3.77542    -3.77632 0.000108314
         625    -3.77558    -3.77632 0.000108147
         626    -3.77544    -3.77632 0.000107983
         627    -3.77546    -3.77632  0.00010782
         628    -3.77532    -3.77632  0.00010766
         629    -3.77519    -3.77631 0.000107503
         630    -3.77522    -3.77631 0.000107347
         631    -3.77525    -3.77631  0.00010719
         632    -3.77558    -3.77631 0.000107026
         633    -3.77532    -3.77631 0.000106869
         634    -3.77521    -3.77631 0.000106714
         635    -3.77525     -3.7763 0.000106559
         636     -3.7753     -3.7763 0.000106403
         637    -3.77535     -3.7763 0.000106247
         638    -3.77495     -3.7763 0.000106102
         639    -3.77516     -3.7763 0.000105951
         640    -3.77492     -3.7763 0.000105807
         641    -3.77483    -3.77629 0.000105667
