#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         275    -5.56866    -5.41703  0.00351292
         276    -5.57189    -5.41759  0.00354471
         277    -5.57486    -5.41816   0.0035771
         278    -5.57804    -5.41873  0.00361017
         279    -5.58096    -5.41931  0.00364375
         280    -5.58438     -5.4199  0.00367811
         281    -5.58694     -5.4205  0.00371275
         282       -5.59     -5.4211  0.00374792
         283     -5.5928    -5.42171  0.00378346
         284    -5.59505    -5.42232  0.00381906
         285     -5.5972    -5.42293  0.00385464
         286    -5.59924    -5.42355  0.00389015
         287    -5.60164    -5.42417  0.00392578
         288    -5.60379    -5.42479  0.00396138
         289     -5.6057    -5.42542  0.00399682
         290    -5.60766    -5.42605  0.00403214
         291    -5.60923    -5.42668  0.00406713
         292    -5.61071    -5.42731  0.00410174
         293    -5.61226    -5.42794  0.00413603
         294    -5.61373    -5.42857  0.00416996
         295    -5.61542     -5.4292  0.00420365
         296    -5.61659    -5.42983  0.00423685
         297      -5.618    -5.43047  0.00426969
         298    -5.61903     -5.4311  0.00430199
         299    -5.62031    -5.43173   0.0043339
         300    -5.62154    -5.43237  0.00436539
         301    -5.62211      -5.433  0.00439617
         302    -5.62279    -5.43363   0.0044263
         303    -5.62388    -5.43425  0.00445601
         304    -5.62463    -5.43488  0.00448514
         305    -5.62519     -5.4355  0.00451363
         306    -5.62572    -5.43613  0.00454148
         307    -5.62608    -5.43674  0.00456865
         308    -5.62702    -5.43736  0.00459539
         309    -5.62779    -5.43798  0.00462166
         310    -5.62855    -5.43859  0.00464746
         311    -5.62929    -5.43921  0.00467279
         312    -5.63003    -5.43982  0.00469767
         313    -5.63091    -5.44043  0.00472217
         314    -5.63163    -5.44104  0.00474622
         315    -5.63235    -5.44164  0.00476986
         316    -5.63307    -5.44225  0.00479308
         317    -5.63378    -5.44285  0.00481589
         318    -5.63435    -5.44346  0.00483824
         319    -5.63476    -5.44406   0.0048601
         320    -5.63563    -5.44466  0.00488165
         321    -5.63575    -5.44525   0.0049026
         322    -5.63677    -5.44585  0.00492332
         323    -5.63763    -5.44644  0.00494376
         324     -5.6382    -5.44703   0.0049638
         325    -5.63905    -5.44762  0.00498357
         326    -5.63991    -5.44821  0.00500306
         327    -5.64075     -5.4488  0.00502229
         328    -5.64128    -5.44939  0.00504115
         329     -5.6418    -5.44997  0.00505963
         330     -5.6423    -5.45055  0.00507776
         331    -5.64293    -5.45114  0.00509557
         332    -5.64339    -5.45171  0.00511302
         333    -5.64383    -5.45229  0.00513011
         334    -5.64454    -5.45287  0.00514694
         335    -5.64491    -5.45344   0.0051634
         336    -5.64556    -5.45401   0.0051796
         337    -5.64586    -5.45458  0.00519542
         338    -5.64613    -5.45515  0.00521086
         339    -5.64665    -5.45571  0.00522602
         340    -5.64697    -5.45628  0.00524084
         341     -5.6474    -5.45684  0.00525535
         342    -5.64762    -5.45739  0.00526951
         343    -5.64778    -5.45795   0.0052833
         344    -5.64818     -5.4585   0.0052968
         345    -5.64822    -5.45905  0.00530992
         346    -5.64805     -5.4596  0.00532259
         347    -5.64795    -5.46014  0.00533486
         348    -5.64764    -5.46068  0.00534667
         349    -5.64725    -5.46121    0.005358
         350    -5.64709    -5.46175  0.00536895
         351    -5.64685    -5.46227  0.00537949
         352    -5.64668     -5.4628  0.00538966
         353    -5.64582    -5.46332  0.00539927
         354    -5.64489    -5.46383  0.00540832
         355    -5.64387    -5.46434  0.00541682
         356    -5.64306    -5.46484  0.00542481
         357    -5.64247    -5.46533  0.00543239
         358    -5.64133    -5.46583  0.00543941
         359    -5.63995    -5.46631  0.00544585
         360    -5.63818    -5.46679  0.00545161
         361    -5.63677    -5.46726   0.0054568
         362    -5.63557    -5.46772   0.0054615
         363    -5.63396    -5.46818  0.00546562
         364    -5.63257    -5.46863  0.00546923
         365    -5.63062    -5.46908  0.00547222
         366    -5.62918    -5.46952  0.00547473
         367    -5.62735    -5.46995  0.00547667
         368    -5.62556    -5.47037  0.00547809
         369    -5.62367    -5.47078  0.00547898
         370    -5.62169    -5.47119  0.00547933
         371    -5.61931    -5.47159  0.00547909
         372    -5.61713    -5.47198  0.00547831
         373     -5.6147    -5.47237  0.00547697
         374    -5.61202    -5.47274  0.00547504
         375    -5.60925     -5.4731  0.00547252
         376    -5.60668    -5.47346  0.00546949
         377    -5.60371     -5.4738  0.00546588
         378    -5.60065    -5.47414  0.00546172
         379     -5.5978    -5.47447  0.00545704
         380    -5.59456    -5.47478  0.00545183
         381    -5.59153    -5.47509  0.00544612
         382    -5.58781    -5.47538  0.00543985
         383    -5.58445    -5.47567   0.0054331
         384    -5.58146    -5.47594  0.00542593
         385    -5.57779    -5.47621  0.00541828
         386    -5.57404    -5.47646  0.00541017
         387    -5.57036     -5.4767  0.00540163
         388    -5.56706    -5.47694  0.00539272
         389    -5.56339    -5.47716  0.00538344
         390     -5.5595    -5.47737  0.00537378
         391    -5.55525    -5.47757  0.00536372
         392    -5.55108    -5.47776  0.00535332
         393    -5.54732    -5.47793  0.00534262
         394     -5.5432     -5.4781  0.00533163
         395    -5.53918    -5.47825  0.00532037
         396    -5.53527     -5.4784  0.00530888
         397    -5.53042    -5.47853  0.00529713
         398    -5.52629    -5.47865  0.00528518
         399    -5.52198    -5.47876  0.00527305
         400    -5.51765    -5.47885  0.00526076
         401    -5.51316    -5.47894  0.00524834
         402    -5.50896    -5.47901  0.00523581
         403     -5.5046    -5.47908  0.00522321
         404    -5.50025    -5.47913  0.00521054
         405    -5.49575    -5.47917  0.00519784
         406    -5.49143     -5.4792  0.00518512
         407    -5.48712    -5.47922  0.00517242
         408      -5.483    -5.47923  0.00515975
         409    -5.47876    -5.47923  0.00514713
         410    -5.47457    -5.47922  0.00513459
         411    -5.47028     -5.4792  0.00512214
         412    -5.46604    -5.47916  0.00510981
         413    -5.46187    -5.47912  0.00509761
         414    -5.45807    -5.47907  0.00508555
         415    -5.45419    -5.47901  0.00507365
         416    -5.45055    -5.47894  0.00506192
         417    -5.44714    -5.47887  0.00505035
         418    -5.44368    -5.47878  0.00503897
         419    -5.44001    -5.47869  0.00502779
         420     -5.4366    -5.47859  0.00501682
         421    -5.43329    -5.47848  0.00500606
         422    -5.42979    -5.47837  0.00499553
         423    -5.42685    -5.47825   0.0049852
         424    -5.42388    -5.47812  0.00497509
         425    -5.42073    -5.47798  0.00496522
         426    -5.41815    -5.47784  0.00495555
         427    -5.41508    -5.47769  0.00494612
         428    -5.41245    -5.47754  0.00493691
         429    -5.41023    -5.47739   0.0049279
         430    -5.40814    -5.47722  0.00491907
         431    -5.40601    -5.47706  0.00491043
         432    -5.40385    -5.47689  0.00490199
         433    -5.40181    -5.47672  0.00489373
         434    -5.40018    -5.47654  0.00488563
         435    -5.39821    -5.47636  0.00487772
         436    -5.39681    -5.47618  0.00486994
         437    -5.39505    -5.47599  0.00486234
         438     -5.3937     -5.4758  0.00485486
         439    -5.39275    -5.47561  0.00484749
         440    -5.39159    -5.47542  0.00484023
         441    -5.39022    -5.47523  0.00483311
         442    -5.38923    -5.47504  0.00482609
         443    -5.38848    -5.47484  0.00481915
         444     -5.3875    -5.47464  0.00481231
         445    -5.38674    -5.47445  0.00480555
         446    -5.38635    -5.47425  0.00479883
         447    -5.38587    -5.47405  0.00479217
         448    -5.38515    -5.47385  0.00478558
         449    -5.38493    -5.47365  0.00477902
         450    -5.38447    -5.47346   0.0047725
         451    -5.38435    -5.47326  0.00476601
         452    -5.38427    -5.47306  0.00475953
         453    -5.38393    -5.47287  0.00475309
         454    -5.38348    -5.47267  0.00474669
         455    -5.38336    -5.47247  0.00474032
         456    -5.38298    -5.47228  0.00473398
         457    -5.38292    -5.47208  0.00472766
         458    -5.38259    -5.47188  0.00472138
         459    -5.38228    -5.47169  0.00471512
         460    -5.38215    -5.47149  0.00470889
         461    -5.38234     -5.4713  0.00470264
         462    -5.38195    -5.47111  0.00469644
         463    -5.38203    -5.47092  0.00469024
         464    -5.38183    -5.47072  0.00468406
         465     -5.3818    -5.47053  0.00467789
         466    -5.38149    -5.47034  0.00467175
         467    -5.38135    -5.47015  0.00466563
         468    -5.38123    -5.46996  0.00465953
         469    -5.38143    -5.46977  0.00465341
         470     -5.3815    -5.46958   0.0046473
         471    -5.38145     -5.4694   0.0046412
         472    -5.38171    -5.46921  0.00463508
         473    -5.38186    -5.46903  0.00462896
         474    -5.38248    -5.46884   0.0046228
         475    -5.38282    -5.46866  0.00461661
         476    -5.38305    -5.46848  0.00461041
         477     -5.3833     -5.4683  0.00460421
         478    -5.38359    -5.46813  0.00459798
         479    -5.38361    -5.46795  0.00459177
         480    -5.38381    -5.46778  0.00458555
         481     -5.3842     -5.4676   0.0045793
         482    -5.38479    -5.46743  0.00457303
         483    -5.38496    -5.46726  0.00456674
         484    -5.38562    -5.46709  0.00456042
         485    -5.38634    -5.46692  0.00455406
         486    -5.38694    -5.46676  0.00454766
         487     -5.3873     -5.4666  0.00454125
         488    -5.38801    -5.46644   0.0045348
         489    -5.38892    -5.46628  0.00452829
         490    -5.38988    -5.46612  0.00452174
         491     -5.3909    -5.46597  0.00451512
         492    -5.39183    -5.46582  0.00450846
         493    -5.39266    -5.46567  0.00450175
         494    -5.39386    -5.46552  0.00449499
         495    -5.39512    -5.46538  0.00448816
         496    -5.39584    -5.46524   0.0044813
         497    -5.39708     -5.4651  0.00447438
         498    -5.39807    -5.46497  0.00446742
         499    -5.39929    -5.46484   0.0044604
         500    -5.40072    -5.46471  0.00445333
         501    -5.40207    -5.46458  0.00444619
         502    -5.40334    -5.46446  0.00443901
         503    -5.40467    -5.46434  0.00443177
         504    -5.40622    -5.46423  0.00442448
         505    -5.40785    -5.46412  0.00441713
         506    -5.40984    -5.46401   0.0044097
         507     -5.4119    -5.46391   0.0044022
         508    -5.41402    -5.46381  0.00439463
         509    -5.41607    -5.46371    0.004387
         510    -5.41848    -5.46363  0.00437929
         511     -5.4205    -5.46354  0.00437154
         512    -5.42304    -5.46346  0.00436371
         513    -5.42549    -5.46339  0.00435583
         514    -5.42786    -5.46332  0.00434791
         515    -5.43013    -5.46325  0.00433994
         516    -5.43277     -5.4632  0.00433194
         517    -5.43561    -5.46314  0.00432388
         518    -5.43836    -5.46309   0.0043158
         519    -5.44131    -5.46305  0.00430769
         520    -5.44417    -5.46302  0.00429956
         521    -5.44692    -5.46299  0.00429142
         522    -5.44986    -5.46296  0.00428327
         523    -5.45285    -5.46294  0.00427512
         524    -5.45603    -5.46293  0.00426699
         525     -5.4591    -5.46292  0.00425886
         526    -5.46206    -5.46292  0.00425077
         527    -5.46535    -5.46292   0.0042427
         528    -5.46821    -5.46293  0.00423468
         529     -5.4711    -5.46295   0.0042267
         530    -5.47417    -5.46297  0.00421878
         531    -5.47771      -5.463  0.00421093
         532    -5.48081    -5.46303  0.00420315
         533    -5.48362    -5.46307  0.00419544
         534    -5.48675    -5.46311  0.00418782
         535    -5.48989    -5.46316  0.00418029
         536    -5.49303    -5.46322  0.00417286
         537    -5.49632    -5.46328  0.00416554
         538    -5.49961    -5.46335  0.00415835
         539    -5.50274    -5.46342  0.00415128
         540    -5.50586     -5.4635  0.00414433
         541    -5.50897    -5.46358  0.00413752
         542    -5.51207    -5.46367  0.00413086
         543    -5.51514    -5.46377  0.00412434
         544    -5.51835    -5.46387  0.00411798
         545    -5.52168    -5.46398  0.00411179
         546    -5.52468    -5.46409  0.00410576
         547    -5.52781     -5.4642   0.0040999
         548    -5.53075    -5.46432  0.00409422
         549     -5.5338    -5.46445  0.00408872
