#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         413     0.90786     0.91273  0.00254575
         414     0.90586    0.912713  0.00253966
         415    0.903897    0.912692  0.00253362
         416    0.901969    0.912666  0.00252767
         417    0.900079    0.912636  0.00252178
         418    0.898235    0.912601  0.00251599
         419    0.896441    0.912563  0.00251028
         420    0.894693     0.91252  0.00250466
         421    0.892996    0.912474  0.00249914
         422    0.891356    0.912424  0.00249372
         423    0.889763     0.91237   0.0024884
         424     0.88823    0.912313  0.00248318
         425    0.886758    0.912253  0.00247807
         426    0.885338     0.91219  0.00247306
         427    0.883986    0.912124  0.00246815
         428    0.882691    0.912055  0.00246334
         429    0.881451    0.911984  0.00245863
         430    0.880273     0.91191  0.00245402
         431    0.879156    0.911834   0.0024495
         432    0.878102    0.911756  0.00244507
         433    0.877106    0.911676  0.00244074
         434    0.876163    0.911594  0.00243648
         435    0.875284    0.911511  0.00243231
         436    0.874454    0.911426  0.00242822
         437    0.873684    0.911339   0.0024242
         438    0.872962    0.911252  0.00242024
         439    0.872286    0.911163  0.00241636
         440    0.871662    0.911073  0.00241253
         441     0.87109    0.910982  0.00240877
         442    0.870558    0.910891  0.00240505
         443    0.870065    0.910799  0.00240139
         444    0.869617    0.910706  0.00239777
         445    0.869204    0.910613  0.00239419
         446    0.868822    0.910519  0.00239066
         447    0.868476    0.910425  0.00238716
         448    0.868164    0.910331  0.00238369
         449    0.867875    0.910236  0.00238026
         450    0.867616    0.910141  0.00237685
         451    0.867378    0.910047  0.00237348
         452    0.867163    0.909952  0.00237012
         453    0.866973    0.909857  0.00236679
         454    0.866805    0.909762  0.00236347
         455     0.86665    0.909667  0.00236018
         456    0.866516    0.909573   0.0023569
         457    0.866394    0.909478  0.00235363
         458    0.866289    0.909384  0.00235038
         459    0.866198     0.90929  0.00234714
         460    0.866116    0.909196  0.00234392
         461    0.866041    0.909102   0.0023407
         462    0.865985    0.909009  0.00233749
         463    0.865933    0.908916   0.0023343
         464    0.865896    0.908823  0.00233111
         465    0.865866    0.908731  0.00232792
         466    0.865849    0.908639  0.00232475
         467     0.86584    0.908547  0.00232157
         468    0.865839    0.908456  0.00231841
         469    0.865844    0.908365  0.00231524
         470    0.865861    0.908275  0.00231208
         471    0.865891    0.908185  0.00230892
         472    0.865927    0.908095  0.00230577
         473    0.865975    0.908006  0.00230261
         474    0.866029    0.907918  0.00229945
