#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         260     1.72965     1.63254  0.00317599
         261       1.734     1.63293  0.00318753
         262     1.73831     1.63333  0.00320064
         263     1.74258     1.63374  0.00321531
         264     1.74681     1.63417  0.00323153
         265     1.75098     1.63461  0.00324926
         266      1.7551     1.63506  0.00326846
         267     1.75916     1.63553   0.0032891
         268     1.76315     1.63601  0.00331112
         269     1.76707     1.63649  0.00333447
         270     1.77092     1.63699  0.00335908
         271     1.77469      1.6375   0.0033849
         272     1.77838     1.63802  0.00341185
         273     1.78198     1.63854  0.00343986
         274     1.78549     1.63908  0.00346886
         275      1.7889     1.63963  0.00349877
         276     1.79223     1.64018  0.00352951
         277     1.79545     1.64074    0.003561
         278     1.79858     1.64131  0.00359317
         279      1.8016     1.64188  0.00362593
         280     1.80452     1.64246  0.00365921
         281     1.80733     1.64305  0.00369293
         282     1.81005     1.64364  0.00372701
         283     1.81265     1.64424  0.00376138
         284     1.81516     1.64484  0.00379598
         285     1.81756     1.64545  0.00383073
         286     1.81986     1.64606  0.00386557
         287     1.82205     1.64667  0.00390044
         288     1.82415     1.64729  0.00393528
         289     1.82615      1.6479  0.00397003
         290     1.82805     1.64853  0.00400465
         291     1.82986     1.64915  0.00403908
         292     1.83158     1.64977  0.00407328
         293     1.83322      1.6504  0.00410721
         294     1.83477     1.65103  0.00414084
         295     1.83624     1.65165  0.00417413
         296     1.83763     1.65228  0.00420705
         297     1.83895     1.65291  0.00423957
         298      1.8402     1.65354  0.00427167
         299     1.84139     1.65417  0.00430334
         300     1.84252      1.6548  0.00433455
         301      1.8436     1.65542   0.0043653
         302     1.84462     1.65605  0.00439557
         303      1.8456     1.65667  0.00442536
         304     1.84654      1.6573  0.00445466
         305     1.84744     1.65792  0.00448346
         306     1.84831     1.65855  0.00451177
         307     1.84914     1.65917  0.00453959
         308     1.84995     1.65979  0.00456692
         309     1.85074      1.6604  0.00459376
         310     1.85152     1.66102  0.00462013
