#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         359     1.24397     1.12596  0.00363133
         360     1.24325     1.12629  0.00363583
         361     1.24248     1.12661  0.00363998
         362     1.24164     1.12693  0.00364376
         363     1.24073     1.12724  0.00364719
         364     1.23976     1.12755  0.00365025
         365     1.23873     1.12785  0.00365293
         366     1.23764     1.12815  0.00365525
         367     1.23648     1.12845  0.00365718
         368     1.23525     1.12874  0.00365874
         369     1.23396     1.12902  0.00365992
         370      1.2326      1.1293  0.00366072
         371     1.23118     1.12958  0.00366114
         372     1.22969     1.12985  0.00366118
         373     1.22814     1.13011  0.00366083
         374     1.22652     1.13037  0.00366011
         375     1.22483     1.13062    0.003659
         376     1.22308     1.13087  0.00365753
         377     1.22127     1.13111  0.00365568
         378      1.2194     1.13134  0.00365346
         379     1.21746     1.13157  0.00365088
         380     1.21546     1.13179  0.00364794
         381      1.2134       1.132  0.00364465
         382     1.21127     1.13221  0.00364101
         383     1.20909     1.13241  0.00363703
         384     1.20686      1.1326  0.00363273
         385     1.20456     1.13279   0.0036281
         386     1.20222     1.13297  0.00362315
         387     1.19982     1.13314   0.0036179
         388     1.19736     1.13331  0.00361236
         389     1.19486     1.13347  0.00360654
         390     1.19232     1.13362  0.00360045
         391     1.18972     1.13376   0.0035941
         392     1.18709      1.1339   0.0035875
         393     1.18441     1.13403  0.00358068
         394      1.1817     1.13415  0.00357363
         395     1.17895     1.13426  0.00356639
         396     1.17617     1.13437  0.00355895
         397     1.17337     1.13447  0.00355134
         398     1.17053     1.13456  0.00354357
         399     1.16768     1.13464  0.00353566
         400     1.16481     1.13471  0.00352763
         401     1.16192     1.13478  0.00351949
         402     1.15903     1.13484  0.00351125
         403     1.15613      1.1349  0.00350293
         404     1.15322     1.13494  0.00349456
         405     1.15032     1.13498  0.00348613
         406     1.14743     1.13501  0.00347768
         407     1.14454     1.13503  0.00346922
         408     1.14167     1.13505  0.00346075
         409     1.13882     1.13506   0.0034523
         410       1.136     1.13506  0.00344388
         411     1.13321     1.13506  0.00343551
         412     1.13045     1.13504  0.00342719
         413     1.12772     1.13503  0.00341893
         414     1.12504       1.135  0.00341076
         415     1.12241     1.13497  0.00340268
         416     1.11982     1.13494  0.00339469
         417     1.11729     1.13489  0.00338681
         418     1.11482     1.13485  0.00337905
         419     1.11241     1.13479  0.00337141
         420     1.11007     1.13473   0.0033639
         421     1.10779     1.13467  0.00335652
         422     1.10559      1.1346  0.00334927
         423     1.10345     1.13453  0.00334216
         424      1.1014     1.13445  0.00333519
         425     1.09942     1.13437  0.00332836
         426     1.09752     1.13428  0.00332167
         427     1.09569     1.13419  0.00331512
         428     1.09395      1.1341  0.00330871
         429     1.09229       1.134  0.00330243
         430     1.09072      1.1339  0.00329629
         431     1.08922     1.13379  0.00329027
         432      1.0878     1.13369  0.00328437
         433     1.08646     1.13358   0.0032786
         434      1.0852     1.13347  0.00327294
         435     1.08402     1.13335  0.00326739
         436     1.08291     1.13324  0.00326194
         437     1.08187     1.13312   0.0032566
         438      1.0809       1.133  0.00325134
         439        1.08     1.13288  0.00324618
         440     1.07916     1.13276  0.00324109
         441     1.07839     1.13263  0.00323609
         442     1.07768     1.13251  0.00323115
         443     1.07702     1.13238  0.00322629
         444     1.07642     1.13226  0.00322148
         445     1.07586     1.13213  0.00321674
         446     1.07536       1.132  0.00321204
         447      1.0749     1.13188  0.00320739
         448     1.07448     1.13175  0.00320279
         449     1.07409     1.13162  0.00319823
         450     1.07375     1.13149  0.00319371
         451     1.07344     1.13136  0.00318922
         452     1.07316     1.13123  0.00318477
         453      1.0729     1.13111  0.00318034
         454     1.07268     1.13098  0.00317593
         455     1.07248     1.13085  0.00317156
         456      1.0723     1.13072   0.0031672
         457     1.07214     1.13059  0.00316286
         458       1.072     1.13046  0.00315854
         459     1.07188     1.13034  0.00315424
         460     1.07178     1.13021  0.00314995
         461     1.07169     1.13008  0.00314567
         462     1.07162     1.12996  0.00314141
         463     1.07156     1.12983  0.00313715
         464     1.07151      1.1297  0.00313291
         465     1.07148     1.12958  0.00312867
         466     1.07146     1.12945  0.00312444
         467     1.07145     1.12933  0.00312022
         468     1.07146     1.12921    0.003116
