#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         374    -5.44677    -5.44834 0.000179802
         375    -5.44684    -5.44834 0.000179367
         376    -5.44658    -5.44833 0.000178951
         377    -5.44698    -5.44833 0.000178513
         378     -5.4464    -5.44832 0.000178113
         379    -5.44583    -5.44832 0.000177764
         380    -5.44527    -5.44831 0.000177478
         381    -5.44535     -5.4483 0.000177182
         382    -5.44544    -5.44829 0.000176877
         383    -5.44617    -5.44829 0.000176502
         384    -5.44659    -5.44828 0.000176098
         385    -5.44733    -5.44828 0.000175658
         386    -5.44743    -5.44828 0.000175217
         387     -5.4485    -5.44828 0.000174765
         388    -5.44958    -5.44828 0.000174346
         389    -5.44968    -5.44829 0.000173935
         390    -5.45012    -5.44829 0.000173553
         391    -5.45055     -5.4483 0.000173205
         392    -5.45002     -5.4483 0.000172819
         393    -5.44981    -5.44831 0.000172422
         394    -5.44928    -5.44831 0.000172002
         395    -5.44876    -5.44831  0.00017157
         396    -5.44856    -5.44831 0.000171138
         397      -5.449    -5.44831 0.000170716
         398    -5.44848    -5.44831 0.000170288
         399    -5.44828    -5.44831 0.000169861
         400    -5.44841    -5.44831 0.000169436
         401    -5.44854    -5.44831 0.000169015
         402    -5.44802    -5.44831 0.000168596
         403    -5.44782    -5.44831 0.000168182
         404    -5.44892    -5.44831 0.000167772
         405    -5.44872    -5.44831 0.000167361
         406    -5.44917    -5.44832 0.000166962
         407    -5.44929    -5.44832 0.000166569
         408    -5.44909    -5.44832 0.000166172
         409    -5.44986    -5.44832 0.000165808
         410     -5.4503    -5.44833 0.000165473
         411    -5.45041    -5.44833 0.000165148
         412    -5.44987    -5.44834 0.000164789
         413    -5.44998    -5.44834 0.000164438
         414    -5.44976    -5.44835 0.000164077
         415    -5.44986    -5.44835 0.000163722
         416    -5.44996    -5.44835 0.000163374
         417    -5.45005    -5.44836 0.000163033
         418    -5.45046    -5.44836 0.000162721
         419    -5.45054    -5.44837 0.000162416
         420    -5.45095    -5.44837 0.000162145
         421    -5.45134    -5.44838 0.000161914
         422    -5.45174    -5.44839 0.000161725
         423     -5.4518     -5.4484 0.000161543
         424    -5.45185     -5.4484 0.000161368
         425    -5.45223    -5.44841  0.00016124
         426    -5.45228    -5.44842 0.000161116
         427      -5.452    -5.44843 0.000160956
         428    -5.45203    -5.44844   0.0001608
         429    -5.45206    -5.44845 0.000160647
         430    -5.45209    -5.44846 0.000160496
         431    -5.45211    -5.44846 0.000160347
         432    -5.45212    -5.44847 0.000160199
         433    -5.45213    -5.44848 0.000160051
         434    -5.45246    -5.44849 0.000159944
         435    -5.45181     -5.4485 0.000159758
         436    -5.45148    -5.44851 0.000159537
         437    -5.45146    -5.44851 0.000159316
         438    -5.45145    -5.44852 0.000159093
         439    -5.45142    -5.44853 0.000158868
         440    -5.45172    -5.44853 0.000158673
         441    -5.45169    -5.44854 0.000158475
         442    -5.45198    -5.44855 0.000158307
         443    -5.45129    -5.44855 0.000158071
         444     -5.4506    -5.44856 0.000157782
         445    -5.45023    -5.44856 0.000157473
         446    -5.45018    -5.44857 0.000157161
         447    -5.45045    -5.44857 0.000156866
         448    -5.45039    -5.44857 0.000156568
         449    -5.45065    -5.44858 0.000156288
         450    -5.45091    -5.44858 0.000156027
         451    -5.45085    -5.44859 0.000155762
         452    -5.45077    -5.44859 0.000155492
