#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         554    -6.61544    -6.66848  0.00292949
         555    -6.61242    -6.66838  0.00292595
         556    -6.61138    -6.66828  0.00292248
         557    -6.60973    -6.66817  0.00291913
         558    -6.60813    -6.66807  0.00291588
         559    -6.60626    -6.66795  0.00291276
         560    -6.60508    -6.66784  0.00290972
         561    -6.60461    -6.66773  0.00290671
         562    -6.60321    -6.66762  0.00290381
         563    -6.60252     -6.6675  0.00290095
         564    -6.60124    -6.66738  0.00289819
         565    -6.60001    -6.66726  0.00289551
         566    -6.59853    -6.66714  0.00289294
         567     -6.5971    -6.66702  0.00289047
         568    -6.59638    -6.66689  0.00288806
         569    -6.59443    -6.66677  0.00288579
         570    -6.59383    -6.66664  0.00288356
         571    -6.59298    -6.66651  0.00288139
         572    -6.59251    -6.66638  0.00287926
         573    -6.59147    -6.66625   0.0028772
         574    -6.59145    -6.66612  0.00287514
         575    -6.59053    -6.66599  0.00287314
         576       -6.59    -6.66586  0.00287118
         577    -6.58953    -6.66572  0.00286925
         578    -6.58847    -6.66559   0.0028674
         579    -6.58845    -6.66546  0.00286554
         580    -6.58816    -6.66532  0.00286369
         581    -6.58825    -6.66519  0.00286184
         582    -6.58872    -6.66506  0.00285993
         583     -6.5886    -6.66493  0.00285803
         584    -6.58853     -6.6648  0.00285613
         585    -6.58851    -6.66467  0.00285423
         586    -6.58854    -6.66454  0.00285231
         587     -6.5883    -6.66441  0.00285041
         588    -6.58842    -6.66428  0.00284849
         589    -6.58924    -6.66415   0.0028465
         590    -6.58944    -6.66402  0.00284449
         591    -6.58969     -6.6639  0.00284245
         592    -6.58998    -6.66377  0.00284039
         593    -6.59029    -6.66365  0.00283831
         594    -6.59064    -6.66353  0.00283619
         595    -6.59135     -6.6634  0.00283401
         596    -6.59176    -6.66328  0.00283181
         597    -6.59219    -6.66317  0.00282957
         598    -6.59232    -6.66305  0.00282731
         599    -6.59183    -6.66293  0.00282509
         600    -6.59135    -6.66281   0.0028229
         601    -6.59154    -6.66269  0.00282069
         602    -6.59239    -6.66257  0.00281842
         603    -6.59293    -6.66246  0.00281612
         604     -6.5938    -6.66234  0.00281375
         605    -6.59436    -6.66223  0.00281134
         606    -6.59492    -6.66212  0.00280889
         607    -6.59515    -6.66201  0.00280643
         608    -6.59572     -6.6619  0.00280393
         609    -6.59693    -6.66179  0.00280136
         610    -6.59749    -6.66169  0.00279875
         611    -6.59805    -6.66159   0.0027961
         612    -6.59893    -6.66148  0.00279341
         613    -6.59948    -6.66138  0.00279068
         614    -6.60002    -6.66128  0.00278793
         615    -6.60088    -6.66118  0.00278512
         616     -6.6014    -6.66109  0.00278229
         617    -6.60191    -6.66099  0.00277944
         618    -6.60209     -6.6609  0.00277657
         619    -6.60226     -6.6608   0.0027737
         620    -6.60241    -6.66071  0.00277083
         621    -6.60352    -6.66061  0.00276789
         622    -6.60365    -6.66052  0.00276496
         623    -6.60343    -6.66043  0.00276204
         624    -6.60483    -6.66034  0.00275905
         625    -6.60491    -6.66025  0.00275606
