#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         622    0.932307      0.9703     0.00184
         623    0.932625     0.97024  0.00183804
         624    0.932901     0.97018  0.00183607
         625    0.933194    0.970121  0.00183409
         626     0.93347    0.970062  0.00183209
         627    0.933735    0.970004  0.00183009
         628    0.933996    0.969947  0.00182807
         629    0.934225     0.96989  0.00182605
         630    0.934456    0.969834  0.00182401
         631    0.934689    0.969778  0.00182197
         632    0.934886    0.969723  0.00181993
         633    0.935071    0.969668  0.00181787
         634    0.935259    0.969614  0.00181582
         635    0.935436     0.96956  0.00181376
         636    0.935603    0.969507  0.00181169
         637    0.935779    0.969454  0.00180962
         638    0.935919    0.969401  0.00180755
         639    0.936076    0.969349  0.00180547
         640    0.936197    0.969297  0.00180339
         641     0.93631    0.969246  0.00180131
         642     0.93642    0.969195  0.00179923
         643     0.93652    0.969144  0.00179715
         644    0.936611    0.969093  0.00179507
         645    0.936694    0.969043  0.00179299
         646     0.93676    0.968993  0.00179091
         647    0.936819    0.968943  0.00178883
         648    0.936877    0.968894  0.00178676
         649    0.936934    0.968845  0.00178468
         650    0.936983    0.968796  0.00178261
         651    0.937013    0.968747  0.00178054
         652    0.937035    0.968698  0.00177847
         653    0.937071     0.96865  0.00177641
         654    0.937093    0.968601  0.00177435
         655    0.937096    0.968553  0.00177229
         656    0.937095    0.968505  0.00177024
         657    0.937096    0.968457  0.00176819
         658    0.937092     0.96841  0.00176614
         659    0.937084    0.968362   0.0017641
         660     0.93707    0.968315  0.00176207
         661    0.937053    0.968268  0.00176004
         662    0.937019     0.96822  0.00175801
         663    0.936987    0.968173  0.00175599
         664    0.936965    0.968126  0.00175397
         665    0.936921    0.968079  0.00175196
         666    0.936893    0.968033  0.00174996
         667    0.936877    0.967986  0.00174796
         668    0.936833    0.967939  0.00174596
         669    0.936801    0.967893  0.00174397
         670     0.93677    0.967846  0.00174199
         671    0.936724      0.9678  0.00174001
         672    0.936691    0.967754  0.00173804
         673    0.936646    0.967707  0.00173607
         674    0.936597    0.967661  0.00173411
         675    0.936563    0.967615  0.00173215
         676    0.936532    0.967569   0.0017302
         677    0.936503    0.967523  0.00172825
         678    0.936479    0.967477  0.00172631
         679    0.936447    0.967432  0.00172437
         680    0.936432    0.967386  0.00172244
         681    0.936416    0.967341  0.00172051
         682    0.936413    0.967295  0.00171858
         683    0.936411     0.96725  0.00171666
         684     0.93643    0.967205  0.00171474
         685    0.936465     0.96716  0.00171283
         686     0.93651    0.967115  0.00171091
         687    0.936554    0.967071    0.001709
         688    0.936608    0.967027  0.00170709
         689    0.936681    0.966983  0.00170518
         690    0.936755    0.966939  0.00170327
         691    0.936855    0.966895  0.00170136
         692    0.936963    0.966852  0.00169945
         693    0.937081    0.966809  0.00169754
         694     0.93723    0.966766  0.00169563
         695    0.937383    0.966724  0.00169372
         696    0.937561    0.966682  0.00169181
         697    0.937751    0.966641  0.00168989
         698    0.937973      0.9666  0.00168797
         699     0.93821    0.966559  0.00168604
         700    0.938481    0.966519  0.00168411
         701    0.938748    0.966479  0.00168217
         702    0.939043     0.96644  0.00168023
         703    0.939361    0.966402  0.00167828
         704    0.939709    0.966364  0.00167632
         705    0.940072    0.966327  0.00167436
         706    0.940459     0.96629  0.00167239
         707    0.940864    0.966254  0.00167041
         708    0.941299    0.966219  0.00166842
         709    0.941779    0.966184  0.00166643
         710    0.942263    0.966151  0.00166442
         711    0.942778    0.966118   0.0016624
         712    0.943335    0.966086  0.00166038
         713    0.943883    0.966055  0.00165834
         714    0.944468    0.966024  0.00165629
         715    0.945074    0.965995  0.00165424
         716    0.945709    0.965967  0.00165217
         717    0.946357    0.965939  0.00165009
         718    0.947019    0.965913    0.001648
         719    0.947707    0.965888  0.00164591
         720    0.948407    0.965863   0.0016438
         721    0.949131     0.96584  0.00164168
         722    0.949879    0.965818  0.00163956
         723    0.950629    0.965797  0.00163742
         724    0.951409    0.965777  0.00163528
         725    0.952195    0.965758  0.00163313
         726    0.952979    0.965741  0.00163098
         727    0.953789    0.965724  0.00162882
         728    0.954622    0.965709  0.00162665
         729    0.955456    0.965695  0.00162448
         730    0.956278    0.965682  0.00162231
         731    0.957118     0.96567  0.00162013
         732    0.957957     0.96566  0.00161795
