#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         231      1.2392     1.18596  0.00118675
         232     1.24305      1.1862  0.00120688
         233     1.24694     1.18646  0.00122953
         234     1.25086     1.18674  0.00125469
         235     1.25481     1.18703  0.00128235
         236     1.25878     1.18733  0.00131246
         237     1.26276     1.18765  0.00134496
         238     1.26676     1.18798  0.00137977
         239     1.27076     1.18833   0.0014168
         240     1.27476     1.18869  0.00145594
         241     1.27875     1.18906  0.00149709
         242     1.28272     1.18945  0.00154012
         243     1.28668     1.18985  0.00158491
         244     1.29062     1.19026  0.00163133
         245     1.29452     1.19069  0.00167926
         246     1.29839     1.19113  0.00172857
         247     1.30222     1.19158  0.00177913
         248     1.30601     1.19204  0.00183081
         249     1.30975     1.19251   0.0018835
         250     1.31343     1.19299  0.00193708
         251     1.31705     1.19349  0.00199142
         252     1.32061     1.19399  0.00204641
         253     1.32409     1.19451  0.00210194
         254     1.32751     1.19503   0.0021579
         255     1.33084     1.19556  0.00221418
         256     1.33409      1.1961  0.00227069
         257     1.33725     1.19665  0.00232732
         258     1.34032     1.19721  0.00238399
         259      1.3433     1.19777   0.0024406
         260     1.34617     1.19834  0.00249706
         261     1.34895     1.19892  0.00255329
         262     1.35162      1.1995  0.00260922
         263     1.35419     1.20009  0.00266476
         264     1.35664     1.20069  0.00271984
         265     1.35898     1.20128   0.0027744
         266      1.3612     1.20188  0.00282836
         267     1.36331     1.20249  0.00288165
         268     1.36529      1.2031  0.00293423
         269     1.36716     1.20371  0.00298604
         270      1.3689     1.20432  0.00303701
         271     1.37052     1.20493  0.00308711
         272     1.37201     1.20555  0.00313627
         273     1.37337     1.20616  0.00318446
         274     1.37461     1.20678  0.00323164
         275     1.37571     1.20739  0.00327775
         276     1.37669       1.208  0.00332278
         277     1.37753     1.20862  0.00336667
         278     1.37825     1.20923  0.00340941
         279     1.37883     1.20983  0.00345096
         280     1.37929     1.21044   0.0034913
         281     1.37962     1.21104  0.00353041
         282     1.37981     1.21164  0.00356826
         283     1.37988     1.21223  0.00360483
         284     1.37982     1.21282  0.00364012
         285     1.37964     1.21341   0.0036741
         286     1.37932     1.21399  0.00370677
         287     1.37889     1.21456  0.00373812
         288     1.37833     1.21513  0.00376814
         289     1.37765     1.21569  0.00379683
         290     1.37685     1.21625  0.00382419
         291     1.37594      1.2168  0.00385022
         292     1.37491     1.21734  0.00387492
         293     1.37377     1.21787   0.0038983
         294     1.37252      1.2184  0.00392037
         295     1.37116     1.21892  0.00394113
         296     1.36969     1.21943   0.0039606
         297     1.36812     1.21993  0.00397878
         298     1.36645     1.22042   0.0039957
         299     1.36469      1.2209  0.00401136
         300     1.36282     1.22138  0.00402578
         301     1.36086     1.22184  0.00403899
         302     1.35881     1.22229  0.00405101
         303     1.35667     1.22274  0.00406184
         304     1.35445     1.22317  0.00407152
         305     1.35213     1.22359  0.00408007
         306     1.34974       1.224  0.00408751
         307     1.34727     1.22441  0.00409387
         308     1.34472      1.2248  0.00409917
         309      1.3421     1.22518  0.00410344
         310     1.33941     1.22554  0.00410672
         311     1.33666      1.2259  0.00410903
         312     1.33384     1.22625  0.00411039
         313     1.33096     1.22658  0.00411085
         314     1.32803     1.22691  0.00411044
         315     1.32504     1.22722  0.00410918
         316       1.322     1.22752  0.00410711
         317     1.31892     1.22781  0.00410426
         318     1.31578     1.22808  0.00410067
