#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         325    0.861928    0.819794  0.00270506
         326    0.859677    0.819917  0.00269953
         327    0.857416    0.820031  0.00269371
         328    0.855144    0.820139  0.00268762
         329    0.852862    0.820238  0.00268129
         330    0.850574     0.82033  0.00267474
         331    0.848281    0.820414  0.00266799
         332    0.845985    0.820491  0.00266107
         333    0.843687    0.820561  0.00265399
         334     0.84139    0.820623  0.00264678
         335    0.839094    0.820679  0.00263945
         336    0.836803    0.820727  0.00263203
         337    0.834516    0.820767  0.00262454
         338    0.832234    0.820801  0.00261699
         339    0.829958    0.820828  0.00260941
         340     0.82769    0.820849  0.00260182
         341    0.825431    0.820862  0.00259422
         342    0.823183    0.820869  0.00258664
         343    0.820946    0.820869   0.0025791
         344    0.818721    0.820863  0.00257161
         345    0.816509     0.82085  0.00256419
         346     0.81431    0.820831  0.00255685
         347    0.812127    0.820806   0.0025496
         348    0.809958    0.820775  0.00254247
         349    0.807805    0.820738  0.00253545
         350    0.805669    0.820695  0.00252857
         351    0.803551    0.820646  0.00252184
         352    0.801452    0.820591  0.00251527
         353    0.799372    0.820531  0.00250886
         354    0.797311    0.820466  0.00250263
         355     0.79527    0.820395  0.00249659
         356     0.79325    0.820318  0.00249074
         357    0.791251    0.820237  0.00248509
         358    0.789275    0.820151  0.00247965
         359    0.787322    0.820059  0.00247443
         360    0.785393    0.819963  0.00246943
         361    0.783489    0.819862  0.00246466
         362     0.78161    0.819756  0.00246011
         363    0.779757    0.819646   0.0024558
         364    0.777932    0.819531  0.00245173
         365    0.776136    0.819412  0.00244789
         366    0.774369    0.819289   0.0024443
         367    0.772633    0.819162  0.00244094
         368    0.770929    0.819031  0.00243782
         369    0.769257    0.818896  0.00243495
         370    0.767619    0.818758  0.00243231
         371    0.766017    0.818616   0.0024299
         372    0.764454     0.81847  0.00242773
         373    0.762929    0.818321  0.00242578
         374    0.761444    0.818169  0.00242406
         375    0.760001    0.818014  0.00242255
         376    0.758602    0.817856  0.00242125
         377    0.757249    0.817695  0.00242016
         378    0.755944    0.817532  0.00241927
         379    0.754688    0.817366  0.00241856
         380    0.753483    0.817198  0.00241803
         381    0.752333    0.817028  0.00241767
         382    0.751238    0.816855  0.00241747
         383    0.750201    0.816681  0.00241741
         384    0.749224    0.816506  0.00241749
         385    0.748308    0.816328  0.00241769
         386    0.747456     0.81615    0.002418
         387     0.74667    0.815971  0.00241841
         388    0.745951     0.81579   0.0024189
         389    0.745302    0.815609  0.00241946
         390    0.744725    0.815427  0.00242008
         391     0.74422    0.815245  0.00242073
         392    0.743789    0.815063  0.00242141
         393    0.743436     0.81488   0.0024221
         394     0.74316    0.814698  0.00242278
         395    0.742964    0.814517  0.00242344
         396    0.742849    0.814336  0.00242407
         397    0.742815    0.814156  0.00242465
         398    0.742863    0.813977  0.00242516
